tD,tR_over_tD,time,samples,dt,odd_mean,odd_stderr,even_mean,even_stderr,max_bond_dimension,mean_cumulative_jumps
0.98,1.02040816327,6,4,0.025,0.01588273707185258,0.002769835292478236,0.0325153458930986,0.005924342201699163,100,0
0.98,1.02040816327,6.1,4,0.025,0.01594888937772936,0.002909028877339699,0.0318083442901986,0.005472270331489501,100,0
0.98,1.02040816327,6.2,4,0.025,0.01565005431823345,0.003437944912189438,0.0307884228661376,0.005021604181061602,100,0
0.98,1.02040816327,6.3,4,0.025,0.01563262201051787,0.003689414320860485,0.02949131964032629,0.004554806325544614,100,0
0.98,1.02040816327,6.4,4,0.025,0.01613990224275065,0.003388302976238434,0.02801161759200068,0.004075212900989594,100,0
0.98,1.02040816327,6.5,4,0.025,0.01687841630613856,0.002872660300865425,0.02649856945147247,0.003668785993188421,100,0
0.98,1.02040816327,6.6,4,0.025,0.0174243215323365,0.002525574456326439,0.025099813714719,0.003414847527108241,100,0
0.98,1.02040816327,6.7,4,0.025,0.01764611644124343,0.002379022167221331,0.02387236760783192,0.00328766287361111,100,0
0.98,1.02040816327,6.8,4,0.025,0.01768960096206671,0.002266176186834635,0.02278100190595592,0.003223717947817012,100,0
0.98,1.02040816327,6.9,4,0.025,0.01790700139386548,0.002170047829803211,0.02173324949923186,0.003210478871804368,100,0.25
0.98,1.02040816327,7,4,0.025,0.0181299366295732,0.001933967864408092,0.02081923205986314,0.003193943171243888,100,0.25
0.98,1.02040816327,7.1,4,0.025,0.01837953462450544,0.001716799689546112,0.02018308487349663,0.003106355069740237,100,0.25
0.98,1.02040816327,7.2,4,0.025,0.01853611439991299,0.001561505300432233,0.01994824088923564,0.002890077032093001,100,0.25
0.98,1.02040816327,7.3,4,0.025,0.01850923638914833,0.001452884216502637,0.0200455647995352,0.00258942411076101,100,0.25
0.98,1.02040816327,7.4,4,0.025,0.01829154324491411,0.001389319189651121,0.02025058680721759,0.002314388737582431,100,0.25
0.98,1.02040816327,7.5,4,0.025,0.01797147478379725,0.001392892870815451,0.02036349986909365,0.002131689893621383,100,0.25
0.98,1.02040816327,7.6,4,0.025,0.0176835925464931,0.001451750168765642,0.02035808800588187,0.002021776015849657,100,0.25
0.98,1.02040816327,7.7,4,0.025,0.01752473502163648,0.001509095100020908,0.02034291053602968,0.001954256698242163,100,0.25
0.98,1.02040816327,7.8,4,0.025,0.01749561047275252,0.001524791321478189,0.02039635525382287,0.001970404079164612,100,0.25
0.98,1.02040816327,7.9,4,0.025,0.01751582939914198,0.001519279005039893,0.02048506194620703,0.002115048142253485,100,0.25
0.98,1.02040816327,8,4,0.025,0.01750955759789357,0.001560105017808449,0.02049640527622484,0.002335719388990358,100,0.25
0.98,1.02040816327,6,8,0.025,0.0197487480248363,0.002383207132023731,0.0299351197806504,0.003246135267858919,100,0
0.98,1.02040816327,6.1,8,0.025,0.01971610962014754,0.002397687301774643,0.02990378214808435,0.003102230559168507,100,0
0.98,1.02040816327,6.2,8,0.025,0.01948115558282453,0.002556239013439736,0.0297059579815155,0.002957664423545096,100,0
0.98,1.02040816327,6.3,8,0.025,0.01940026015264669,0.002624151235654805,0.02927402856383617,0.002810301218921715,100,0
0.98,1.02040816327,6.4,8,0.025,0.01879631000406824,0.002616861061612584,0.02915724345470426,0.003031457647430591,100,0.125
0.98,1.02040816327,6.5,8,0.025,0.01793997787301606,0.003068665469047893,0.03034387237026788,0.004597601790326949,100,0.25
0.98,1.02040816327,6.6,8,0.025,0.01847233144985321,0.002762652565642741,0.02976371533922112,0.004732829511490557,100,0.25
0.98,1.02040816327,6.7,8,0.025,0.01730727788557982,0.002672766519218578,0.03089927223968883,0.005716951800727651,100,0.5
0.98,1.02040816327,6.8,8,0.025,0.01768212428192501,0.00240786999137008,0.02999796328493726,0.005686020448638088,100,0.625
0.98,1.02040816327,6.9,8,0.025,0.01825046257864388,0.002123871574942634,0.02938598928799986,0.005694129099813647,100,0.75
0.98,1.02040816327,7,8,0.025,0.01923691843569099,0.001893095927237916,0.02883383797577464,0.005667761673516027,100,0.75
0.98,1.02040816327,7.1,8,0.025,0.02046996850483166,0.002204879647422809,0.02832588188907367,0.00555203760709788,100,0.75
0.98,1.02040816327,7.2,8,0.025,0.02149544314597794,0.002843620030266006,0.02782242977464695,0.005287541156815241,100,0.75
0.98,1.02040816327,7.3,8,0.025,0.02209774941928496,0.003368873163393859,0.02730803267210497,0.004900253076537419,100,0.75
0.98,1.02040816327,7.4,8,0.025,0.02251210742080314,0.003847227283831129,0.02675995088345269,0.004473123283963998,100,0.75
0.98,1.02040816327,7.5,8,0.025,0.02298164987131652,0.00443181235858079,0.02613735040549809,0.004066650525661658,100,0.75
