time,samples,odd_slope,odd_slope_stderr,even_slope,even_slope_stderr
6,4,-0.1993209344305215,0.08113229480392768,0.3114315836438725,0.2052636308945631
6.1,4,-0.1843225253250242,0.07610634076431601,0.3042272035338613,0.1948564258291416
6.2,4,-0.1617068880291297,0.07288131594582405,0.2907754694572732,0.184099477672318
6.3,4,-0.156062065551,0.06989852466717963,0.2711204557681969,0.172588586909969
6.4,4,-0.1730995085772655,0.06574573106760997,0.2477342984836818,0.1597349193415072
6.5,4,-0.198340402267083,0.07035696115158943,0.2241709470447823,0.1464208109768246
6.6,4,-0.215427123450395,0.07953967846975778,0.202813292017794,0.1345344048122936
6.7,4,-0.2214488577944591,0.08582393191982629,0.1838243659103277,0.1251499099710515
6.8,4,-0.2242049298455056,0.09052182558832843,0.1659380280079367,0.1171817096610676
6.9,4,-0.2019163840308889,0.1163747924583608,0.1105241569384368,0.1297849699177523
7,4,-0.2086273322746658,0.1268225993406058,0.09986828786952237,0.117611476676792
7.1,4,-0.2143066689626671,0.1361063093535298,0.09601674562503301,0.103890768319298
7.2,4,-0.2143897634305758,0.1413166978656311,0.09969465178927964,0.09136614868047528
7.3,4,-0.2069263425605014,0.1414031022794807,0.1069111357841472,0.08333359028146171
7.4,4,-0.1942350395633964,0.1366852350377764,0.1124653256112136,0.0813585989142593
7.5,4,-0.1802552189727027,0.1294988276810328,0.1141451059146883,0.08371054795888297
7.6,4,-0.1684044266600429,0.1232610813845,0.1144660048495223,0.08621428899496629
7.7,4,-0.1599975275350095,0.1199643171660025,0.1166376077963154,0.08674136293511048
7.8,4,-0.1538641816149802,0.1183358640417957,0.120651495563869,0.08713809206463236
7.9,4,-0.1480533885090377,0.115674357178204,0.1243312158242449,0.08958722678470385
8,4,-0.1422469248731377,0.111654212327338,0.1255037412582162,0.09378057967841978
6,8,-0.2261320408976668,0.1607678727197456,0.331961522570804,0.1049420292917775
6.1,8,-0.2122155718275137,0.152668878559561,0.3302051164111401,0.1008462158706797
6.2,8,-0.1980769535176222,0.1433397910139213,0.3266237323029366,0.09731962482421717
6.3,8,-0.1961775753439817,0.1330455077740343,0.3175610686382023,0.09366516149352334
6.4,8,-0.196584722288696,0.117156854171838,0.2969691381697798,0.08772113834016278
6.5,8,-0.1402304622137888,0.09621221879209697,0.3592850916472542,0.1389946962003818
6.6,8,-0.1519788311362259,0.09440964905101716,0.3448590712103514,0.1397526538831783
6.7,8,-0.103763799147674,0.0747134487224958,0.388411056906077,0.160235647045403
6.8,8,-0.104480716370608,0.07355861105686978,0.3008677966208407,0.1083208783018055
6.9,8,-0.1065749790583909,0.07419003237404603,0.2750869022534426,0.1198177038290491
7,8,-0.124335642193131,0.07589720355195913,0.2560700077256374,0.1142566001134949
7.1,8,-0.1380219440894059,0.07869413148170123,0.2337869160520676,0.1044176084659763
7.2,8,-0.1450314501118634,0.08010181626319245,0.2197028575265098,0.09620056781213958
7.3,8,-0.146927698689419,0.07925716429389823,0.2129158831595033,0.09096284831302055
7.4,8,-0.1450627373684455,0.07633670648356158,0.2039483032849659,0.08493634608851877
7.5,8,-0.1380608545727425,0.07208345327861941,0.1871642826446096,0.07495297778863155
7.6,8,-0.1254477322561722,0.06820490627466354,0.1649041563708722,0.06256468394593118
7.7,8,-0.1108946141445129,0.06652194060370777,0.1421812121796554,0.05136758306375329
7.8,8,-0.09980071584504642,0.0659846351232912,0.1226368987388498,0.04448442721246244
7.9,8,-0.09373062500010507,0.06397926405980291,0.107815644618077,0.04346538235892087
8,8,-0.05624820411842963,0.08026163811069674,0.1574599453664731,0.08230710461939029
6,16,-0.3713550075198997,0.1169869827886188,0.3923989678020725,0.1026526285215763
6.1,16,-0.3547612562230978,0.1118274225008072,0.3939483062435975,0.1007254621640353
6.2,16,-0.335291725471226,0.1055374483044907,0.3884622957269051,0.1004470227730997
6.3,16,-0.3269742046762854,0.1008141142176796,0.3739435962398134,0.09907465053123167
6.4,16,-0.3143291799490653,0.09319695466085583,0.3578780573109485,0.09798395570183686
6.5,16,-0.2758643957469677,0.08815466780876136,0.3869431924877655,0.1087297190213653
6.6,16,-0.2727794968081037,0.08521949757251517,0.3788776985916617,0.1073105541128916
6.7,16,-0.2405620203991415,0.08027271501133973,0.3962766899294502,0.1126810438609246
6.8,16,-0.2298549369428147,0.07747506472213174,0.3471149451305787,0.09691374995902274
6.9,16,-0.2054322510882982,0.07745378618714245,0.3294323278565222,0.09867910390967195
7,16,-0.2187026222342992,0.07514858259060182,0.2831011766258919,0.1079051312094361
7.1,16,-0.221775018347408,0.07512780419078664,0.2706018808652688,0.102199793268988
7.2,16,-0.2239982621392052,0.07496551589838513,0.2641179390218127,0.09673524559297103
7.3,16,-0.2242282061732256,0.0745461935531657,0.261876813512616,0.09238228896175997
7.4,16,-0.2218365784970413,0.07404282312825923,0.2576566739392658,0.08849440029211593
7.5,16,-0.2169651666827767,0.07355360686492207,0.2485573158411288,0.08422092591801358
7.6,16,-0.2113090397876327,0.07323429867198081,0.2368833960361508,0.07981921374671426
7.7,16,-0.207222997428158,0.07333314476486399,0.2259336726100902,0.07618223250249788
7.8,16,-0.2036434216438654,0.0723076337823803,0.2175464287978007,0.07436778649395971
7.9,16,-0.2024569001677666,0.07207445933108524,0.2096615668103377,0.07337981698817851
8,16,-0.1822946755242531,0.07734474539476004,0.232043134425799,0.07772980599963665
6,32,-0.3630695710734316,0.08944207089669312,0.301685678209227,0.08075546584124262
6.1,32,-0.3470109419689751,0.08522060086002806,0.3018256525910393,0.07851511239596479
6.2,32,-0.3309336771536753,0.0813477724843083,0.2995641409609204,0.07667713307952906
6.3,32,-0.3255425919280546,0.08007973952545067,0.2914792671090872,0.07465897230681721
6.4,32,-0.3155009935797258,0.07668095054998302,0.2848462928719789,0.07345341074135747
6.5,32,-0.301656078798702,0.0736615026433043,0.3044260443673287,0.07609099141197505
6.6,32,-0.2938937940329681,0.07158819644353774,0.2990688970935949,0.07538130115961343
6.7,32,-0.2705763874585472,0.06904034175313568,0.3077930276349333,0.07737412770200795
6.8,32,-0.258156810938181,0.06682905143108089,0.2851337974582551,0.07079141678445633
6.9,32,-0.2212405825051894,0.06464712201732996,0.2582113713454828,0.06803308326592851
7,32,-0.2120246071262543,0.06432568612172582,0.2425188935884838,0.07051009543501301
7.1,32,-0.2099124574607371,0.06283399259322375,0.2412634944702154,0.06881331041198287
7.2,32,-0.210879214354893,0.06090147369025319,0.2364945727532483,0.06785938753092161
7.3,32,-0.207653708631869,0.05951510646543039,0.2336873914497851,0.06616882320330442
7.4,32,-0.2029754013307783,0.05809596111662266,0.2312020050750541,0.06483810327855258
7.5,32,-0.1978981270631165,0.05703012499262831,0.2257967499040459,0.06343144000615616
7.6,32,-0.1874572499715714,0.05690407040671885,0.2163640699485701,0.06239937460360926
7.7,32,-0.1832193507815221,0.05629686486475705,0.2087604907441801,0.06121047743687909
7.8,32,-0.2118211765595027,0.06331850552757032,0.2460390300178024,0.07431382691418907
7.9,32,-0.2069157201726579,0.0621105750674991,0.2351159797717624,0.07252528057845653
8,32,-0.1903206771748953,0.06198101103939071,0.2382351314507681,0.07088680236167223
6,64,-0.2963321696399079,0.0584118578915374,0.276050192186774,0.05024861576749567
6.1,64,-0.27299818605488,0.05541694171619489,0.2537962096604591,0.04843241165126917
6.2,64,-0.2678990025647294,0.05278449705521333,0.2501151232617496,0.04756945954272938
6.3,64,-0.2546383807384134,0.05067050372474358,0.2463841750419446,0.04767693947537998
6.4,64,-0.2526171596343458,0.04834806969519707,0.2256336320410107,0.04756039870319654
6.5,64,-0.2488393823566811,0.04645563460919917,0.2337941299443639,0.04820734718018747
6.6,64,-0.2436680300542975,0.04540907667453245,0.2283074882678143,0.04724088524257374
6.7,64,-0.2318761930264749,0.04400166397920657,0.2333318260861223,0.04801716166652128
6.8,64,-0.2364029986760696,0.04423581050147262,0.2184592463890623,0.04496683041107651
6.9,64,-0.2089173088446275,0.04463246089086281,0.2093200701018362,0.04282057358130728
7,64,-0.2000220020833834,0.04455031244410611,0.1925264129391524,0.04373034658440792
7.1,64,-0.1790191954428122,0.04181420124814408,0.1787618066208596,0.04105437331259713
7.2,64,-0.1625095847042997,0.03858525355926434,0.1786477560951034,0.0411955135738139
7.3,64,-0.1591627812641415,0.03722140282893799,0.1772701748503234,0.04014116476313697
7.4,64,-0.1576202416656472,0.03607705482489643,0.1763585335337758,0.03933360619253111
